AppID,Name,Release date,Estimated owners,Peak CCU,Required age,Price,DiscountDLC count,Supported languages,Windows,Mac,Linux,Metacritic score,User score,Positive,Negative,Achievements,Recommendations,Average playtime forever,Developers,Publishers,Categories,Genres,Tags
Block Assembly Simulator,"Feb 26, 2020",0 - 20000,0,0,7.99,0,0,['Korean'],True,False,False,0,0,0,0,0,0,0,Lego Amigo,Lego Amigo,"Single-player,Family Sharing","Casual,Simulation",
Model Railway Easily 2,"Oct 30, 2021",0 - 20000,0,0,19.99,0,0,['English'],True,False,False,0,0,12,8,0,0,0,Redbrick Studios Ltd,Redbrick Studios Ltd,"Single-player,Family Sharing","Casual,Simulation","Simulation,Casual,Atmospheric,Relaxing,3D,Immersive Sim,Cute,Funny,Modern,City Builder,Sandbox,Realistic,Colorful,First-Person,Building,Management,Transportation,Base-Building,Open World,Trains"
REALITY,"Oct 30, 2020",0 - 20000,0,0,1.99,0,0,['English'],True,False,False,0,0,13,1,0,0,0,LunaRolexLer,LunaRolexLer,"Single-player,Full controller support,Steam Cloud,Family Sharing","Action,Indie","Adventure,Psychedelic,Action RPG,Action-Adventure,Abstract,Indie,Singleplayer,Mystery,CRPG,Tactical RPG,2D,Action,Cartoon,Comedy,RPGMaker,Memes,Pixel Graphics,Turn-Based Combat,Funny,Female Protagonist"
Steps From Above,"Oct 20, 2021",0 - 20000,0,0,0.99,0,0,['English'],True,False,False,0,0,4,3,0,0,0,Filipsouthstargamestudio,Filipsouthstargamestudio,"Single-player,Family Sharing","Action,Adventure,Indie,Strategy","Strategy,Action,FPS,Adventure,Shooter,Horror,Realistic,Indie,Singleplayer"
Our Darker Purpose,"Jan 29, 2014",50000 - 100000,1,0,14.99,0,1,['English'],True,False,False,74,0,601,131,64,549,170,Avidly Wild Games,Avidly Wild Games,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Family Sharing","Action,Indie,RPG","Indie,Action Roguelike,Rogue-like,Action,RPG,Rogue-lite,Difficult,Procedural Generation,Female Protagonist,Dark,Perma Death,Gothic,Singleplayer,2D,Kickstarter,Great Soundtrack,Dark Fantasy"
Keystones,"Mar 1, 2019",20000 - 50000,0,0,0.99,0,0,"['English', 'Portuguese - Brazil']",True,False,False,0,0,2,0,2,0,0,Growing Seed Games,Growing Seed Games,"Single-player,Steam Achievements,Family Sharing",Casual,Casual
Brigador: Up-Armored Edition,"Jun 2, 2016",200000 - 500000,8,0,6.49,74,6,"['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Portuguese - Brazil', 'Russian', 'Italian', 'Simplified Chinese', 'Traditional Chinese', 'Polish', 'Korean']",True,True,True,0,0,5127,335,65,4377,195,"Stellar Jockeys,Gausswerks",Stellar Jockeys,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Color Alternatives,Custom Volume Controls,Adjustable Difficulty,Playable without Timed Input,Stereo Sound,Steam Cloud,Includes level editor,Family Sharing","Action,Indie","Twin Stick Shooter,Action,Top-Down Shooter,Mechs,Difficult,Sci-fi,Destruction,Cyberpunk,Rogue-lite,Isometric,Action Roguelike,Vehicular Combat,Shooter,Top-Down,Indie,Dystopian,Atmospheric,Capitalism,Robots,Soundtrack"
Tactical AR,"Nov 7, 2017",0 - 20000,0,0,12.99,0,0,['English'],True,False,False,0,0,8,1,0,0,0,Tactical AR,Tactical AR,"Single-player,Tracked Controller Support,VR Only,Steam Cloud,Includes level editor,Family Sharing","Action,Simulation,Early Access","Action,Simulation,Early Access,Gore,Violent,VR"
Cosmic Star Lounge,"Aug 19, 2025",0 - 20000,0,0,17.99,0,0,['English'],True,False,False,0,0,0,0,16,0,0,Bax Digital GmbH,BAX Verse SRL,"Multi-player,PvP,Online PvP,LAN PvP,Co-op,Online Co-op,LAN Co-op,Steam Achievements,VR Only,Stats,Steam Leaderboards,Family Sharing","Action,Casual,Sports",
Cosmic Outpost,"Dec 5, 2024",0 - 20000,0,0,2.99,70,0,"['English', 'Simplified Chinese', 'Portuguese - Brazil', 'Japanese', 'Korean', 'Turkish']",True,True,True,0,0,5,0,0,0,0,Gökdeniz Yılmaz,Gökdeniz Yılmaz,"Single-player,Family Sharing","Indie,Simulation,Strategy","Simulation,Strategy,Turn-Based Strategy,City Builder,Turn-Based Tactics,3D,Colorful,Cartoony,Top-Down,Sci-fi,Space,Indie,Aliens,Resource Management,Singleplayer,Space Sim,Exploration"
Lilia: The Fallen Flower in the Prison City,"Mar 21, 2025",0 - 20000,12,0,15.99,20,1,"['English', 'Japanese', 'Simplified Chinese']",True,False,False,0,0,92,22,0,101,1589,Acerola,Kagura Games,"Single-player,Steam Cloud,Family Sharing","Casual,Indie,RPG","Casual,RPG,Sexual Content,Anime,JRPG,Hentai,Cute,Singleplayer,Nudity,Indie,Mature,NSFW,Female Protagonist,RPGMaker"
Lockdown Hero,"Jul 20, 2020",0 - 20000,0,0,4.99,0,0,['English'],True,False,False,0,0,14,4,0,0,0,Brick Geek Games,Brick Geek Games,"Single-player,Family Sharing","Action,Adventure,Casual,Indie","Adventure,Open World,Cute,3D Platformer,Post-apocalyptic,RPG,Character Customization,Survival,Superhero,Action-Adventure,3D,Memes,Choose Your Own Adventure,Open World Survival Craft,Colorful,Funny,Parkour,Relaxing,Driving,Hunting"
Uncle Chuck Incorporated,"May 30, 2025",0 - 20000,0,0,4.99,0,0,['English'],True,False,False,0,0,5,2,0,0,0,RedRockGS,RedRockGS,"Single-player,Family Sharing","Action,Adventure,Indie,Simulation,Strategy","Horror,Survival Horror,First-Person,Psychological Horror,Singleplayer,Dark,Multiplayer,Survival,Adventure,Atmospheric,Walking Simulator,Strategy,Story Rich,Exploration,3D,Realistic,Investigation,Thriller,Action,Simulation"
Special Forces War - Zombie Attack,"Nov 28, 2023",0 - 0,0,0,0.0,0,0,"['English', 'Simplified Chinese', 'Japanese', 'Traditional Chinese', 'Portuguese - Brazil', 'Portuguese - Portugal', 'Korean']",True,False,False,0,0,0,0,0,0,0,Special Forces War - Zombie Attack,FutureGameStudio,"Single-player,In-App Purchases,Family Sharing","Casual,Indie,RPG,Simulation,Strategy,Free To Play",
Radiant Exodus,"May 24, 2025",20000 - 50000,0,0,1.79,55,0,['English'],True,False,False,0,0,16,2,0,0,0,Horrawr,Horrawr,"Single-player,Family Sharing","Action,Adventure,Indie,RPG","FPS,Survival Horror,3D,Action RPG,Action,First-Person,Adventure,Shoot 'Em Up,Shooter,Post-apocalyptic,Action-Adventure,Aliens,Cyberpunk,Demons,Futuristic,Horror,Mars,Sci-fi,Space,Survival"
Kitchen Sync: Aloha! Playtest,"Apr 6, 2023",0 - 0,0,0,0.0,0,0,[],True,False,False,0,0,0,0,30,0,0,,,,,
Submerged: Hidden Depths,"Mar 9, 2022",20000 - 50000,2,0,29.99,0,1,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Portuguese - Portugal', 'Danish', 'Finnish', 'Korean', 'Norwegian', 'Russian', 'Swedish', 'Polish', 'Portuguese - Brazil', 'Simplified Chinese', 'Traditional Chinese', 'Turkish']",True,False,False,0,0,666,73,14,666,185,Uppercut Games Pty Ltd,Uppercut Games Pty Ltd,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing",Adventure,"Exploration,Relaxing,Female Protagonist,Walking Simulator,3D,Open World,Family Friendly,Atmospheric,Colorful,Emotional,Nature,Adventure,Singleplayer,Collectathon,Post-apocalyptic,Third Person,Controller,Multiplayer,Puzzle-Platformer,Epic"
